split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
3,2020-08-20,2020-08-21,2020-08-27,407,55,0.7621568705081812,0.4361434325081222,0.9097328915915132,15.598285640277052,GradientBoosting,辣椒类
3,2020-08-20,2020-08-21,2020-08-27,407,55,0.7734891236962107,0.5828514085823301,0.9070286332812155,28.26244439071719,Huber,辣椒类
4,2020-08-27,2020-08-28,2020-09-03,462,55,1.2402360537604415,0.8573083636363636,0.7986299080707204,32.02677498194602,RandomForest,辣椒类
4,2020-08-27,2020-08-28,2020-09-03,462,55,1.0699518772547538,0.7323440305255161,0.8501299838515228,31.322730592013535,GradientBoosting,辣椒类
4,2020-08-27,2020-08-28,2020-09-03,462,55,1.361080162924539,0.943997328416421,0.757476586206107,45.12972729646294,Huber,辣椒类
5,2020-09-03,2020-09-04,2020-09-10,517,56,0.8599169209539123,0.6169628571428571,0.7950720048545112,33.51003510270771,RandomForest,辣椒类
5,2020-09-03,2020-09-04,2020-09-10,517,56,0.7051940446976922,0.5449125453661304,0.8621821172392399,41.55678633458712,GradientBoosting,辣椒类
5,2020-09-03,2020-09-04,2020-09-10,517,56,0.8786457923313211,0.6443774313310376,0.7860481880526199,53.69782261655024,Huber,辣椒类
6,2020-09-10,2020-09-11,2020-09-17,573,57,0.7497162752645105,0.42056105263157906,0.9076831781297666,15.202320103915559,RandomForest,辣椒类
6,2020-09-10,2020-09-11,2020-09-17,573,57,0.7722278279811393,0.4506208870652534,0.9020559940712541,15.929012433538622,GradientBoosting,辣椒类
6,2020-09-10,2020-09-11,2020-09-17,573,57,1.1151575407495748,0.7338084219301318,0.795751244942916,36.215429035236134,Huber,辣椒类
7,2020-09-17,2020-09-18,2020-09-24,630,54,0.700025399052434,0.3956600000000003,0.9207229330058728,18.691811841868894,RandomForest,辣椒类
7,2020-09-17,2020-09-18,2020-09-24,630,54,0.7035818224936365,0.39474391005874054,0.9199153651266477,16.112052160693338,GradientBoosting,辣椒类
7,2020-09-17,2020-09-18,2020-09-24,630,54,0.7474831948005507,0.5483417679931165,0.9096094883204467,38.53067285297539,Huber,辣椒类
0,2020-07-30,2020-07-31,2020-08-06,178,50,0.7584408248030954,0.5069531999999998,0.9789291395743455,11.647811856968062,RandomForest,食用菌
0,2020-07-30,2020-07-31,2020-08-06,178,50,0.8212163058194947,0.5531721995776369,0.9752967556242667,12.836951733605858,GradientBoosting,食用菌
0,2020-07-30,2020-07-31,2020-08-06,178,50,1.3161844589506628,1.0243944874222266,0.9365440451348954,32.610246849069334,Huber,食用菌
1,2020-08-06,2020-08-07,2020-08-13,228,51,1.7315185347493076,1.2039337254901958,0.8608972082886381,19.510478557752897,RandomForest,食用菌
1,2020-08-06,2020-08-07,2020-08-13,228,51,1.644162632983811,1.1980436538923642,0.874578755983303,24.424866322734026,GradientBoosting,食用菌
1,2020-08-06,2020-08-07,2020-08-13,228,51,1.6296411004338553,1.171852098762781,0.8767844570281225,30.900239873385953,Huber,食用菌
2,2020-08-13,2020-08-14,2020-08-20,279,67,0.8044951595598478,0.5017814925373137,0.9721748272471368,12.128910865956847,RandomForest,食用菌
2,2020-08-13,2020-08-14,2020-08-20,279,67,0.8765245992003088,0.5893352398120232,0.9669691905791419,19.03241777882707,GradientBoosting,食用菌
2,2020-08-13,2020-08-14,2020-08-20,279,67,1.2936818237850503,0.9928155781890247,0.9280474895481021,36.60124788935862,Huber,食用菌
3,2020-08-20,2020-08-21,2020-08-27,346,60,0.8287235057404044,0.5525543333333331,0.9689448181162086,13.792959778474026,RandomForest,食用菌
3,2020-08-20,2020-08-21,2020-08-27,346,60,0.9053339558406834,0.626018675776273,0.9629376987586801,15.59736233851255,GradientBoosting,食用菌
3,2020-08-20,2020-08-21,2020-08-27,346,60,1.210765634704864,0.9226739078940148,0.9337119971980443,30.417511518212343,Huber,食用菌
4,2020-08-27,2020-08-28,2020-09-03,406,64,0.8518830011803262,0.5621406249999996,0.9624768735687379,13.326280093190789,RandomForest,食用菌
4,2020-08-27,2020-08-28,2020-09-03,406,64,0.8284520202997256,0.5477446924576775,0.9645126283378692,17.682478916651416,GradientBoosting,食用菌
4,2020-08-27,2020-08-28,2020-09-03,406,64,1.6548311979211776,1.116157439919697,0.8584054583518695,40.096415626089936,Huber,食用菌
5,2020-09-03,2020-09-04,2020-09-10,470,68,1.4565735071958106,1.0580191176470586,0.8934408401026909,25.74273296497458,RandomForest,食用菌
5,2020-09-03,2020-09-04,2020-09-10,470,68,1.4322394505750358,1.0928597428327707,0.8969715327446695,36.78774537344634,GradientBoosting,食用菌
5,2020-09-03,2020-09-04,2020-09-10,470,68,2.4148943584055966,1.4827676032739874,0.7070980596877267,58.319583843192405,Huber,食用菌
6,2020-09-10,2020-09-11,2020-09-17,538,66,0.967899882641889,0.656654242424243,0.9457514692192165,22.156929333089046,RandomForest,食用菌
6,2020-09-10,2020-09-11,2020-09-17,538,66,0.9975377869788471,0.6230413005635229,0.9423783330485814,22.14137301375729,GradientBoosting,食用菌
6,2020-09-10,2020-09-11,2020-09-17,538,66,1.959490180457152,1.4495631932319988,0.7776622076445376,69.81152748449196,Huber,食用菌
7,2020-09-17,2020-09-18,2020-09-24,604,62,1.5160104132079175,1.024714193548387,0.8097635811731423,27.676275206867977,RandomForest,食用菌
7,2020-09-17,2020-09-18,2020-09-24,604,62,1.4877925543830595,1.0466271661724844,0.8167795038079474,32.30037305560817,GradientBoosting,食用菌
7,2020-09-17,2020-09-18,2020-09-24,604,62,1.6132660881835608,0.99499444169832,0.784572420134204,32.53714179158377,Huber,食用菌
